hour_index_0based,local_ac_w,official_replay_ac_w,absolute_difference_w,exact_match
627,0.0,0.0,0.0,True
628,0.0,0.0,0.0,True
629,0.0,0.0,0.0,True
630,0.0,0.0,0.0,True
631,93.193,93.193,0.0,True
632,344.32,344.32,0.0,True
633,538.304,538.304,0.0,True
634,658.261,658.261,0.0,True
635,717.707,717.707,0.0,True
636,718.444,718.444,0.0,True
637,668.586,668.586,0.0,True
638,561.099,561.099,0.0,True
639,395.595,395.595,0.0,True
640,159.012,159.012,0.0,True
641,0.0,0.0,0.0,True
642,0.0,0.0,0.0,True
643,0.0,0.0,0.0,True
644,0.0,0.0,0.0,True
645,0.0,0.0,0.0,True
646,0.0,0.0,0.0,True
647,0.0,0.0,0.0,True
648,0.0,0.0,0.0,True
649,0.0,0.0,0.0,True
650,0.0,0.0,0.0,True
651,0.0,0.0,0.0,True
652,0.0,0.0,0.0,True
653,0.0,0.0,0.0,True
654,0.0,0.0,0.0,True
655,124.794,124.794,0.0,True
656,379.457,379.457,0.0,True
657,562.107,562.107,0.0,True
658,681.014,681.014,0.0,True
659,733.077,733.077,0.0,True
660,731.235,731.235,0.0,True
661,677.61,677.61,0.0,True
662,567.487,567.487,0.0,True
663,401.398,401.398,0.0,True
664,162.367,162.367,0.0,True
665,0.0,0.0,0.0,True
666,0.0,0.0,0.0,True
667,0.0,0.0,0.0,True
668,0.0,0.0,0.0,True
669,0.0,0.0,0.0,True
670,0.0,0.0,0.0,True
671,0.0,0.0,0.0,True
672,0.0,0.0,0.0,True
673,0.0,0.0,0.0,True
674,0.0,0.0,0.0,True
675,0.0,0.0,0.0,True
676,0.0,0.0,0.0,True
677,0.0,0.0,0.0,True
678,0.0,0.0,0.0,True
679,57.364,57.364,0.0,True
680,186.662,186.662,0.0,True
681,538.596,538.596,0.0,True
682,644.341,644.341,0.0,True
683,697.342,697.342,0.0,True
684,700.575,700.575,0.0,True
685,499.354,499.354,0.0,True
686,389.211,389.211,0.0,True
687,65.16,65.16,0.0,True
688,124.703,124.703,0.0,True
689,0.0,0.0,0.0,True
690,0.0,0.0,0.0,True
691,0.0,0.0,0.0,True
692,0.0,0.0,0.0,True
693,0.0,0.0,0.0,True
694,0.0,0.0,0.0,True
695,0.0,0.0,0.0,True
696,0.0,0.0,0.0,True
697,0.0,0.0,0.0,True
698,0.0,0.0,0.0,True
699,0.0,0.0,0.0,True
700,0.0,0.0,0.0,True
701,0.0,0.0,0.0,True
702,0.0,0.0,0.0,True
703,95.074,95.074,0.0,True
704,314.261,314.261,0.0,True
705,355.879,355.879,0.0,True
706,523.573,523.573,0.0,True
707,592.761,592.761,0.0,True
708,715.125,715.125,0.0,True
709,667.373,667.373,0.0,True
710,402.023,402.023,0.0,True
711,285.95,285.95,0.0,True
712,116.054,116.054,0.0,True
713,0.0,0.0,0.0,True
714,0.0,0.0,0.0,True
715,0.0,0.0,0.0,True
716,0.0,0.0,0.0,True
717,0.0,0.0,0.0,True
718,0.0,0.0,0.0,True
719,0.0,0.0,0.0,True
720,0.0,0.0,0.0,True
721,0.0,0.0,0.0,True
722,0.0,0.0,0.0,True
723,0.0,0.0,0.0,True
724,0.0,0.0,0.0,True
725,0.0,0.0,0.0,True
726,0.0,0.0,0.0,True
727,0.0,0.0,0.0,True
728,5.316,5.316,0.0,True
729,126.558,126.558,0.0,True
730,215.729,215.729,0.0,True
731,185.262,185.262,0.0,True
732,743.207,743.207,0.0,True
733,463.003,463.003,0.0,True
734,234.34,234.34,0.0,True
735,232.206,232.206,0.0,True
736,145.098,145.098,0.0,True
737,0.0,0.0,0.0,True
738,0.0,0.0,0.0,True
739,0.0,0.0,0.0,True
740,0.0,0.0,0.0,True
741,0.0,0.0,0.0,True
742,0.0,0.0,0.0,True
743,0.0,0.0,0.0,True
744,0.0,0.0,0.0,True
745,0.0,0.0,0.0,True
746,0.0,0.0,0.0,True
747,0.0,0.0,0.0,True
748,0.0,0.0,0.0,True
749,0.0,0.0,0.0,True
750,0.0,0.0,0.0,True
751,97.329,97.329,0.0,True
752,326.377,326.377,0.0,True
753,330.715,330.715,0.0,True
754,639.395,639.395,0.0,True
755,702.692,702.692,0.0,True
756,711.836,711.836,0.0,True
757,662.138,662.138,0.0,True
758,554.714,554.714,0.0,True
759,386.458,386.458,0.0,True
760,154.172,154.172,0.0,True
761,0.0,0.0,0.0,True
762,0.0,0.0,0.0,True
763,0.0,0.0,0.0,True
764,0.0,0.0,0.0,True
765,0.0,0.0,0.0,True
766,0.0,0.0,0.0,True
767,0.0,0.0,0.0,True
768,0.0,0.0,0.0,True
769,0.0,0.0,0.0,True
770,0.0,0.0,0.0,True
771,0.0,0.0,0.0,True
772,0.0,0.0,0.0,True
773,0.0,0.0,0.0,True
774,0.0,0.0,0.0,True
775,121.839,121.839,0.0,True
776,368.196,368.196,0.0,True
777,545.756,545.756,0.0,True
778,653.822,653.822,0.0,True
779,702.508,702.508,0.0,True
780,692.359,692.359,0.0,True
781,642.818,642.818,0.0,True
782,544.603,544.603,0.0,True
783,394.978,394.978,0.0,True
784,158.857,158.857,0.0,True
785,0.0,0.0,0.0,True
786,0.0,0.0,0.0,True
787,0.0,0.0,0.0,True
788,0.0,0.0,0.0,True
789,0.0,0.0,0.0,True
790,0.0,0.0,0.0,True
791,0.0,0.0,0.0,True
792,0.0,0.0,0.0,True
793,0.0,0.0,0.0,True
794,0.0,0.0,0.0,True
795,0.0,0.0,0.0,True
796,0.0,0.0,0.0,True
797,0.0,0.0,0.0,True
798,0.0,0.0,0.0,True
799,124.671,124.671,0.0,True
800,371.976,371.976,0.0,True
801,556.777,556.777,0.0,True
802,669.619,669.619,0.0,True
803,724.3,724.3,0.0,True
804,721.095,721.095,0.0,True
805,665.499,665.499,0.0,True
806,559.444,559.444,0.0,True
807,402.923,402.923,0.0,True
808,173.558,173.558,0.0,True
809,0.0,0.0,0.0,True
810,0.0,0.0,0.0,True
811,0.0,0.0,0.0,True
812,0.0,0.0,0.0,True
813,0.0,0.0,0.0,True
814,0.0,0.0,0.0,True
815,0.0,0.0,0.0,True
816,0.0,0.0,0.0,True
817,0.0,0.0,0.0,True
818,0.0,0.0,0.0,True
819,0.0,0.0,0.0,True
820,0.0,0.0,0.0,True
821,0.0,0.0,0.0,True
822,0.0,0.0,0.0,True
823,74.477,74.477,0.0,True
824,371.849,371.849,0.0,True
825,548.415,548.415,0.0,True
826,665.702,665.702,0.0,True
827,720.654,720.654,0.0,True
828,716.04,716.04,0.0,True
829,659.86,659.86,0.0,True
830,550.741,550.741,0.0,True
831,393.656,393.656,0.0,True
832,166.91,166.91,0.0,True
833,0.0,0.0,0.0,True
834,0.0,0.0,0.0,True
835,0.0,0.0,0.0,True
836,0.0,0.0,0.0,True
837,0.0,0.0,0.0,True
838,0.0,0.0,0.0,True
839,0.0,0.0,0.0,True
840,0.0,0.0,0.0,True
841,0.0,0.0,0.0,True
842,0.0,0.0,0.0,True
843,0.0,0.0,0.0,True
844,0.0,0.0,0.0,True
845,0.0,0.0,0.0,True
846,0.0,0.0,0.0,True
847,129.31,129.31,0.0,True
848,373.674,373.674,0.0,True
849,548.417,548.417,0.0,True
850,661.386,661.386,0.0,True
851,711.234,711.234,0.0,True
852,700.653,700.653,0.0,True
853,641.812,641.812,0.0,True
854,544.758,544.758,0.0,True
855,398.402,398.402,0.0,True
856,88.106,88.106,0.0,True
857,0.0,0.0,0.0,True
858,0.0,0.0,0.0,True
859,0.0,0.0,0.0,True
860,0.0,0.0,0.0,True
861,0.0,0.0,0.0,True
