controller,seed,episode,update,transition,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,day,step,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step
PPO-QP,20260807,56,11,5469,0,0,0,0.0,-100.0,-90.31001938444852,0.0,1.9485824065412773e-11,103.03986682541994,30.0,194,92,32.30137039619348,125.0,4,-100.0,27.74520750553521,-722.7199916836175,-90.31001938444852,-9.689980615551477,3.7999999999999996e-08,0,1,14.567407189949662,0
PPO-QP,20260807,57,11,5565,0,0,0,0.0,-100.0,-100.0,0.0,2.0004964351727496e-11,97.38139037467363,30.0,112,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,39.36256633257482,0
PPO-QP,20260807,58,12,5661,0,0,0,0.0,-100.0,-100.0,0.0,1.9854181262009738e-11,100.49931148378674,30.0,174,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,55.763105653585626,0
PPO-QP,20260807,59,12,5757,0,0,0,0.0,-100.0,-100.0,0.0,2.0025322141255706e-11,97.57557280168987,30.0,75,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,60,12,5853,0,0,0,0.0,-100.0,-100.0,0.0,1.985904773960101e-11,104.00758986645744,30.0,9,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,61,12,5949,0,0,0,0.0,-100.0,-100.0,0.0,1.984704992944823e-11,98.98452005268396,30.0,24,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,63,12,6141,0,0,0,0.0,-100.0,-100.0,0.0,1.9878543255913428e-11,103.71614153679448,30.0,125,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,64,13,6237,0,0,0,0.0,-100.0,-100.0,0.0,1.9888120779872527e-11,104.874570453267,30.0,238,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,65,13,6333,0,0,0,0.0,-100.0,-100.0,0.0,1.9976683270546877e-11,99.02691431499208,30.0,144,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,66,13,6429,0,0,0,0.0,-100.0,-100.0,0.0,1.9898501365152772e-11,87.91645733503387,30.0,86,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,67,13,6525,0,0,0,0.0,-100.0,-98.66248104858103,0.0,1.9959400798796877e-11,73.92145614413825,30.0,13,92,30.317660750962006,125.0,4,-100.0,20.20711085365562,-731.0724533477501,-98.66248104858103,-1.3375189514189714,3.7999999999999996e-08,0,1,65.52273804668673,0
PPO-QP,20260807,68,13,6621,0,0,0,0.0,-100.0,-100.0,0.0,1.9820419379830886e-11,95.85085952656725,30.0,3,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,69,14,6717,0,0,0,0.0,-100.0,-100.0,0.0,1.9826336868552137e-11,96.01676559852008,30.0,37,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,70,14,6813,0,0,0,0.0,-100.0,-100.0,0.0,1.9943735551919418e-11,102.31891501836098,30.0,162,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,71,14,6909,0,0,0,0.0,-100.0,-100.0,0.0,1.9945634033291525e-11,100.07999755036212,30.0,172,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,72,14,7005,0,0,0,0.0,-100.0,-100.0,0.0,1.9874990542234627e-11,88.51136863994178,30.0,79,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,73,14,7101,0,0,0,0.0,-100.0,-100.0,0.0,1.991770082199196e-11,104.9255458245251,30.0,233,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,74,15,7197,0,0,0,0.0,-100.0,-100.0,0.0,1.9766532854958996e-11,115.68383100969456,30.0,208,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,49.66272364289729,0
PPO-QP,20260807,75,15,7293,0,0,0,0.0,-100.0,-100.0,0.0,1.996780518709329e-11,98.21813398146197,30.0,68,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,76,15,7389,0,0,0,0.0,-100.0,-100.0,0.0,1.9954445503363633e-11,83.04178651529132,30.0,55,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,77,15,7485,0,0,0,0.0,-100.0,-100.0,0.0,1.9959152848988047e-11,105.46954824232857,30.0,143,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,62.29032426480153,0
PPO-QP,20260807,78,15,7583,0,0,0,0.0,-100.0,-85.71651335706544,0.0,2.0009020366510792e-11,100.091080800493,30.0,223,94,80.89232807769696,125.0,2,-100.0,100.0,-296.5198374567885,-85.71651335706544,-14.283486642934562,3.7999999999999996e-08,0,1,49.861949209240265,0
PPO-QP,20260807,79,15,7677,0,0,0,0.0,-100.0,-100.0,0.0,1.9836643438964075e-11,103.74738027439993,30.0,54,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,80,16,7773,0,0,0,0.0,-100.0,-100.0,0.0,1.9900285123479005e-11,92.24150315024411,30.0,69,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,81,16,7869,0,0,0,0.0,-100.0,-100.0,0.0,1.9923888464982533e-11,91.85584163919535,30.0,100,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,82,16,7965,0,0,0,0.0,-100.0,-100.0,0.0,2.0113632981377805e-11,91.9647476534924,30.0,62,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,83,16,8061,0,0,0,0.0,-100.0,-100.0,0.0,1.983347560260048e-11,94.92530164324614,30.0,109,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,45.19191726998734,0
PPO-QP,20260807,84,16,8157,0,0,0,0.0,-100.0,-100.0,0.0,0.0,109.00845018424536,30.0,186,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,85,17,8253,0,0,0,0.0,-100.0,-100.0,0.0,1.989226191175438e-11,95.87781493241873,30.0,133,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,86,17,8349,0,0,0,0.0,-100.0,-100.0,0.0,1.952372337873006e-11,106.54959711280397,30.0,197,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,87,17,8445,0,0,0,0.0,-100.0,-100.0,0.0,1.9836673044911398e-11,112.54618120928845,30.0,212,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,88,17,8541,0,0,0,0.0,-100.0,-100.0,0.0,1.9766247897716008e-11,105.46834623074572,30.0,204,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,89,17,8637,0,0,0,0.0,-100.0,-100.0,0.0,1.98621896707607e-11,111.81848596317624,30.0,207,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,90,18,8733,0,0,0,0.0,-100.0,-100.0,0.0,1.9049628541267792e-11,83.30942638550725,30.0,49,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
